13;Câu 5; Muốn biết khí A nặng/nhẹ hơn khí B có mấy cách?;A. 1;B. 2;C. 3;D. 4;B
13;Câu 6; Trong các khí sau, số khí nhẹ hơn không khí là: CO2, H2O, N2, H2, SO2;A. 5;B. 4;C. 3;D. 2;C
13;Câu 7; Trong các khí sau, số khí nặng hơn không khí là: CO2, H2O, N2, H2, SO2, N2O;A. 1;B. 3;C. 4;D. 5;B
13;Câu 8; Khí SO2 nặng hay nhẹ hơn không khí bao lần;A. Nặng hơn không khí 2,2 lần;B. Nhẹ hơn không khí 3 lần;C. Nặng hơn không khí 2,4 lần;D. Nhẹ hơn không khí 2 lần;A
13;Câu 9; Khí N2 nặng hay nhẹ hơn khí O2;A. N2 nặng hơn O2 1,75 lần;B. O2 nặng hơn N2 1,75 lần;C. N2 = O2;D. Không đủ điều kiện để kết luận;B
13;Câu 10; Cho CO2, H2O, N2, H2, SO2, N2O, CH4, NH3. Khí có thể thu được khi để đứng bình là;A. CO2, CH4, NH3;B. CO2, H2O, CH4, NH3;C. CO2, SO2,N2O;D. N2, H2, SO2,N2O, CH4, NH3;C

14;Câu 1; Cho C2H5OH. Số nguyên tử H có trong hợp chất;A. 1;B. 5;C. 3;D. 6;D
14;Câu 2; Tính %mK có trong phân tử K2CO3;A. 56, 502%;B. 56,52%;C. 56,3%;D. 56,56%;B
14;Câu 3; Biết hợp chất có dA/H2 = 22. Xác định hợp chất biết có duy nhất 1 nguyên tử Oxi;A. NO;B. CO;C. N2O;D. CO2;C
14;Câu 4; Tính %mC biết trong 1 mol NaHCO3 có 1 mol Na, 1 mol C và 3 mol O, 1 mol H;A. 14,28 %;B. 14,2%;C. 14,284%;D. 14,285%;D
14;Câu 5; Thành phần phần trăm khối lượng của oxi trong Fe2O3;A. 35%;B. 40%;C. 30%;D. 45%;C
14;Câu 6; Tính khối lượng của Fe trong 92,8 g Fe3O4;A. 67,2 g;B. 25,6 g;C. 80 g;D. 10 g;A
14;Câu 7; Tính mAl2O3 biết số mol Al có trong hợp chất là 0,6;A. 30,6 g;B. 31 g;C. 29 g;D. 11,23 g;A
14;Câu 8; Tỉ số về số mol của các nguyên tố có trong C3H6O2;A. 3:6:2;B. 1:3:1;C. 36:6:32;D. 12:6:16;A
14;Câu 9; Tìm công thức hóa học biết chất A có 80% nguyên tử Cu và 20% nguyên tử Oxi, biết dA/H2 = 40;A. CuO2;B. CuO;C. Cu2O;D. Cu2O2;B
14;Câu 10; %mMg trong 1 mol MgO là;A. 60%;B. 40%;C. 50%;D. 45%;A

15;Câu 1; Cho thanh magie cháy trong không khí thu được hợp chất magie oxit. Biết m_Mg = 7,2 g. Tính khối lượng hợp chất;A. 2,4 g;B. 9,6 g;C. 4,8 g;D. 12 g;C
15;Câu 2; Cho phương trình CaCO3 → CO2 + H2O Để điều chế 2,24 l CO2 thì số mol CaCO3 cần dùng là;A. 1 mol;B. 0,1 mol;C. 0,001 mol;D. 2 mol;B
15;Câu 3; Ba + 2HCl → BaCl2 + H2 Để thu dược 4,16 g BaCl2 cần bao nhiêu mol HCl;A. 0,04 mol;B. 0,01 mol;C. 0,02 mol;D. 0,5 mol;A
15;Câu 4; Cho 5,6 g sắt tác dụng với dung dịch axit clohidric loãng thu được bao nhiêu ml khí H2;A. 2,24 ml;B. 22,4 ml;C. 2, 24.10^-3 ml;D. 0,0224 ml;C
15;Câu 5; Cho 13,7 g Ba tác dụng với 3,2 g oxi thu được hợp chất oxit. Tính khối lượng oxi sau phản ứng;A. 3,2 g;B. 1,6 g;C. 6,4 g;D. 0,8 g;B
15;Câu 6; Cho 98 g H2SO4 loãng 20% phản ứng với thanh nhôm thấy có khí bay lên. Xác định thể tích khí đó;A. 4,8 l;B. 2,24 l;C. 4,48 l;D. 0,345 l;C
15;Câu 7; Cho 8,45 g Zn tác dụng với 5,376 l khí Clo (đktc). Hỏi chất nào sau phản ứng còn dư;A. Zn;B. Clo;C. Cả 2 chất;D. Không có chất dư;B
15;Câu 8; Nhiệt phân 2,45 g KClO3 thu được O2. Cho Zn tác dụng với O2 vừa thu được . Tính khối lượng chất thu được sau phản ứng;A. 2,45 g;B. 5,4 g;C. 4,86 g;D. 6,35 g;D
15;Câu 9; Đốt cháy 11,2 l CH4 trong không khí thu được khí và nước. Xác định khí và cho biết số mol;A. CO và 0,5 mol;B. CO2 và 0,5 mol;C. C và 0,2 mol;D. CO2 và 0,054 mol;B
15;Câu 10; Nung 6,72 g Fe trong không khí thu được sắt (II) oxit. Tính mFeO và VO2;A. 1,344 g và 0,684 l;B. 2,688 l và 0,864 g;C. 1,344 l và 8,64 g;D. 8,64 g và 2,234 ml;C

16;Câu 1; Khí oxi nặng hơn không khí bao nhiêu lần;A. 1,1 lần;B. 0,55 lần;C. 0,90625 lần;D. 1,8125 lần;A
16;Câu 2; Đốt cháy 3,1 g photpho trong bình chứa oxi tạo ra điphotpho pentaoxit. Tính khối lượng oxit thu được;A. 1,3945 g;B. 14,2 g;C. 1,42 g;D. 7,1 g;D
16;Câu 3; Cháy mạnh, sáng chói, không có khói là hiện tượng của phản ứng;A. C+O2 → CO2;B. 3Fe+2O2 → Fe3O4;C. 2Cu+O2 → 2CuO;D. 2Zn+O2 → 2ZnO;B
16;Câu 4; Cháy trong oxi với lửa nhỏ có màu xanh nhạt, cháy trong không khí mãnh liệt hơn là hiện tượng của phản ứng;A. 2S + 3O2 → 2SO3;B. S + O2 → SO2;C. P + O2 → P2O5;D. P + O2 →P2O5;A
16;Câu 5; Cháy mạnh trong oxi với ngọn lửa sáng chói, tạo ra khói trắng dày đặc bám vào thành lọ dưới dạng bột hòa tan được nước là phản ứng;A. 4P + 5O2 → 2P2O5;B. P + O2 → P2O3;C. S + O2 →SO2;D. 2Zn + O2 →2 ZnO;A
16;Câu 6; Cho 0,56 g Fe tác dụng với 16 g oxi tạo ra oxit sắt từ. Tính khối lượng oxit sắt từ và cho biết chất còn dư sau phản ứng;A. Oxi dư và m = 0,67 g;B. Fe dư và m = 0,774 g;C. Oxi dư và m = 0,773 g;D. Fe dư và m = 0,67 g;C
16;Câu 7; Tính chất nào sau đây oxi không có;A. Oxi là chất khí;B. Trong các hợp chất, oxi có hóa trị 2;C. Tan nhiều trong nước;D. Nặng hơn không khí;C
16;Câu 8; Chọn đáp án đúng;A. Oxi không có khả năng kết hợp với chất hemoglobin trong máu;B. Khí oxi là một đơn chất kim loại rất hoạt động;C. Oxi nặng hơn không khí;D. Oxi có 3 hóa trị;C
16;Câu 9; Chọn đáp án đúng;A. CH4 + O2 → 2CO2 + H2O;B. 2C2H2 +5O2→ 4CO2 + 2H2O;C. Ba + O2 → BaO;D. 2KClO3 → 2KCl + O2;B
16;Câu 10; Tính thể tích khí oxi phản ứng khi đốt cháy 3,6 g C;A. 0,672 l;B. 67,2 l;C. 6,72 l;D. 0,0672 l;C

17;Câu 1; Phản ứng nào là phản ứng hóa hợp;A. Cu + H2SO4 → CuSO4 + H2;B. CaO + H2O → Ca(OH)2;C. CaCO3 → CaO +CO2;D. Fe + 2HCl →FeCl2 + H2;B
17;Câu 2; Những lĩnh vực quan trọng nhất chỉ khí oxi;A. Sự hô hấp;B. Sự đốt nhiên liệu;C. Dùng trong phản ứng hóa hợp;D. Cả A&B;B
17;Câu 3; Chọn đáp án sai;A. Sự tác dụng của oxi với 1 chất là sự oxi hóa;B. Lò luyện gang dung không khí giàu oxi;C. Cu + H2SO4 → CuSO4 + H2 là phản ứng hóa hợp;D. Đèn xì oxi- axetilen là một trong những ứng dụng của oxi;C
17;Câu 4; Chọn đáp án đúng;A. Trong thế kỉ 19, oxi thường đi trộn với nito oxit để làm chất giảm đau;B. Oxi được dung làm chất khử;C. Phản ứng hóa hợp là 1 chất sau khi có nhiệt độ tạo thành 2 chất;D. Cả 3 đáp án;A
17;Câu 5; Cho phản ứng CaO + H2O → Ca(OH)2. Tính số mol của canxi hidroxit biết khối lương của CaO là 5,6 g;A. 0,01 mol;B. 1 mol;C. 0,1 mol;D. 0,001 mol;C
17;Câu 6; Đâu không là phản ứng hóa hợp;A. 2Cu + O2 −to→ 2CuO;B. Fe + O2 −to→ FeO;C. Mg + S → MgS;D. FeO+ 2HCl → FeCl2 + H2O;D
17;Câu 7; Chọn câu đúng;A. Sự tác dụng của 1 chất với oxi gọi là sự oxi hóa;B. Phản ứng hóa hợp là phản ứng thu nhiệt;C. Phản ứng hóa hợp sinh ra nhiều chất mới;D. Oxi là chất khí không màu, không mùi, nhẹ hơn không khí;A
17;Câu 8; Tại sao bệnh nhân lại cần đến ống thở khi hô hấp không ổn định;A. Cung cấp oxi;B. Tăng nhiệt độ cơ thể;C. Lưu thông máu;D. Giảm đau;A
17;Câu 9; Lập phương trình hóa hợp của nhôm và lưu huỳnh;A. Al + S → Al2S3;B. 2Al + 3S → Al2S3;C. 2Al + S → Al2S;D. 3Al + 4S → Al3S4;B
17;Câu 10; Cho các câu sai :...a. Oxi cung cấp cho sự hô hấp của con người...b. Oxi tác dụng trực tiếp với halogen...c. Phản ứng hóa hợp là 2 chất phản ứng tạo thành duy nhất 1 chất sản phẩm...d. Các nhiên liệu cháy trong oxi tạo ra nhiệt độ thấp hơn trong không khí...Câu đúng là;A. a,b,c;B. a,d;C. a,c;D. cả 3 đáp án;C

18;Câu 1; Hợp chất nào sau đây không phải là oxit;A. CO2;B. SO2;C. CuO;D. CuS;D
18;Câu 2; Oxit nào sau đây là oxit axit;A. CuO;B. Na2O;C. CO2;D. CaO;C
18;Câu 3; Oxit bắt buộc phải có nguyên tố;A. Oxi;B. Halogen;C. Hidro;D. Lưu huỳnh;A
18;Câu 4; Chỉ ra công thức viết sai: CaO, CuO, NaO, CO2, SO;A. CaO, CuO;B. NaO, CaO;C. NaO, SO;D. CuO, SO;C
18;Câu 5; Chỉ ra các oxit bazo: P2O5, CaO, CuO, BaO, Na2O, P2O3;A. P2O5, CaO, CuO;B. CaO, CuO, BaO, Na2O;C. BaO, Na2O, P2O3;D. P2O5, CaO, P2O3;B
18;Câu 6; Chỉ ra oxit axit: : P2O5, CaO, CuO, BaO, SO2, CO2;A. P2O5, CaO, CuO, BaO;B. BaO, SO2, CO2;C. CaO, CuO, BaO;D. SO2, CO2 , P2O5;D
18;Câu 7; Chọn đáp án đúng;A. CO- cacbon (II) oxit;B. CuO- đồng (II) oxit;C. FeO- sắt (III) oxit;D. CaO- canxi trioxit;B
18;Câu 8; Axit tương ứng của CO2;A. H2SO4;B. H3PO4;C. H2CO3;D. HCl;C
18;Câu 9; Bazo tương ứng của MgO;A. Mg(OH)2;B. MgCl2;C. MgSO4;D. Mg(OH)3;A
18;Câu 10; Tên gọi của P2O5;A. Điphotpho trioxit;B. Photpho oxit;C. Điphotpho oxit;D. Điphotpho pentaoxit;D

19;Câu 1; Các chất dung để điều chế Oxi trong phòng thí nghiệm là;A. KClO3;B. KMnO4;C. CaCO3;D. Cả A & B;D
19;Câu 2; Tổng hệ số của chất tham gia và sản phẩm là 2KClO3 (t0)→ 2KCl + 3O2;A. 2&5;B. 5&2;C. 2&2;D. 2&3;A
19;Câu 3; Có những cách nào điều chế oxi trong công nghiệp;A. Dùng nghiên liệu là không khí;B. Dùng nước làm nguyên liệu;C. Cách nào cũng được;D. A&B;D
19;Câu 4; Nhiệt phân 12,25 g KClO3 thấy có khí bay lên. Tính thể tích của khí ở đktc;A. 4,8 l;B. 3,36 l;C. 2,24 l;D. 3,2 l;B
19;Câu 5; Số sản phẩm tạo thành của phản ứng phân hủy là;A. 2;B. 3;C. 2 hay nhiều sản phẩm;D. 1;C
19;Câu 6; Chọn nhận xét đúng;A. Phản ứng phân hủy là một dạng của phản ứng hóa học;B. Phản ứng hóa hợp là phản ứng oxi hóa khử;C. Phản ứng phân hủy là phản ứng sinh ra duy nhất 2 chất mới;D. Cả A và C đều đúng;A
19;Câu 7; Phản ứng phân hủy là;A. Ba + 2HCl → BaCl2 + H2;B. Cu + H2S → CuS+H2;C. MgCO3 → MgO + CO2;D. KMnO4 → MnO + O2 + K2O;C
19;Câu 8; Cho phản ứng 2KMnO4 (t0)→ K2MnO4 + MnO2 + O2. Tổng hệ số sản phẩm là;A. 3;B. 2;C. 1;D. 5;A
19;Câu 9; Tính khối lượng KMnO4 biết nhiệt phân thấy 2,7552 l khí bay lên;A. 38,678 g;B. 38,868 g;C. 37,689 g;D. 38,886 g;B
19;Câu 10; Phương trình không điều chế oxi trong phòng thí nghiệm;A. 2KMnO4 −(t0)→ K2MnO4 + MnO2 + O2 ↑;B. 2H2O2 −(t0)→ 2H2O + O2;C. 2KClO3 −(MnO2)→ 2KCl + 3O2;D. 2H2O −(t0)→ 2H2 + O2;D

20;Câu 1; Trong không khí Oxi chiếm bao nhiêu phần trăm thể tích?;A. 21%;B. 79%;C. 21%;D. 0%;A
20;Câu 2; Phương pháp nào để dập tắt lửa do xăng dầu?;A. Quạt;B. Phủ chăn bông hoặc vải dày;C. Dùng nước;D. Dùng cồn;B
20;Câu 3; Chọn đáp án đung nhất. Bản chất của phản ứng cháy là:;A. Cần có Oxi;B. Sản phẩm tạo ra có CO2;C. Là phản ứng oxi hóa – khử;D. Là phản ứng tỏa nhiệt;C
20;Câu 4; Để bảo vệ không khí trong lành chúng ta nên làm gì?;A. Chặt cây xây cầu cao tốc;B. Đổ chất thải chưa qua xử lí ra môi trường;C. Trồng cây xanh;D. Xây thêm nhiều khu công nghiệp;C
20;Câu 5; Thành phần các chất trong không khí:;A. 9% Nitơ, 90% Oxi, 1% các chất khác;B. 91% Nitơ, 8% Oxi, 1% các chất khác;C. 50% Nitơ, 50% Oxi;D. 21% Oxi, 78% Nitơ, 1% các chất khác;D
20;Câu 6; Điều kiện phát sinh phản ứng cháy là:;A. Chất phải nóng đến nhiệt độ cháy;B. Phải đủ khí oxi cho sự cháy.;C. Cần phải có chất xúc tác cho phản ứng cháy;D. Cả A & B;D
20;Câu 7; Chọn đáp án đúng nhất;A. Phản ứng oxi hóa chính là phản ứng cháy;B. Sự oxi hóa chậm không tỏa nhiệt và phát sáng;C. Sự oxi hóa chậm tỏa nhiệt và không phát sáng;D. Cả 3 đáp án đều sai;C
20;Câu 8; Sự giống nhau giữa sự cháy và sự oxi hóa chậm là;A. Phát sáng;B. Cháy;C. Tỏa nhiệt;D. Sự oxi hóa xảy ra chậm;C
20;Câu 9; Làm thế nào để dập tắt sự cháy?;A. Hạ nhiệt độ của chất cháy xuống dưới nhiệt độ cháy;B. Cách li chất cháy với oxi;C. Quạt;D. A & B đều đúng;D
20;Câu 10; Đốt cháy 6g oxi và 7g P trong bình. Sau phản ứng chất nào còn dư?;A.Photpho;B. Oxi;C. Không xác định được;D. Cả hai chất;A
